HomeTeam,AwayTeam,Season,rugbypassURL,Round,HomeScore,AwayScore
leicester,saracens,19/20,,2,10,24
gloucester,wasps,19/20,,2,25,9
harlequins,bristol,19/20,,2,22,17
london-irish,sale,19/20,,2,7,41
northampton,worcester,19/20,,2,35,16
bath,exeter-chiefs,19/20,,2,13,10
worcester,exeter-chiefs,19/20,,3,20,24
leicester,gloucester,19/20,,3,16,13
saracens,london-irish,19/20,,3,16,13
wasps,bath,19/20,,3,30,22
bristol,sale,19/20,,3,16,10
northampton,harlequins,19/20,,3,40,22
exeter-chiefs,bristol,19/20,,4,17,20
london-irish,leicester,19/20,,4,36,11
bath,northampton,19/20,,4,22,13
gloucester,saracens,19/20,,4,12,21
harlequins,worcester,19/20,,4,14,19
sale,wasps,19/20,,4,28,18
bristol,london-irish,19/20,,5,27,27
harlequins,gloucester,19/20,,5,23,19
exeter-chiefs,wasps,19/20,,5,38,3
northampton,leicester,19/20,,5,36,13
worcester,sale,19/20,,5,20,13
bath,saracens,19/20,,5,12,25
london-irish,bath,19/20,,6,10,38
leicester,exeter-chiefs,19/20,,6,22,31
sale,northampton,19/20,,6,22,10
saracens,bristol,19/20,,6,47,13
wasps,harlequins,19/20,,6,22,28
gloucester,worcester,19/20,,6,36,3
exeter-chiefs,saracens,19/20,,7,14,7
harlequins,leicester,19/20,,7,30,30
bath,sale,19/20,,7,16,14
worcester,london-irish,19/20,,7,20,6
northampton,gloucester,19/20,,7,33,26
bristol,wasps,19/20,,7,21,26
wasps,northampton,19/20,,8,31,35
london-irish,exeter-chiefs,19/20,,8,25,45
gloucester,bath,19/20,,8,29,15
saracens,worcester,19/20,,8,62,5
leicester,bristol,19/20,,8,31,18
sale,harlequins,19/20,,8,48,10
harlequins,saracens,19/20,,9,41,14
bath,leicester,19/20,,9,13,10
bristol,gloucester,19/20,,9,34,16
exeter-chiefs,sale,19/20,,9,19,22
worcester,wasps,19/20,,9,26,30
northampton,london-irish,19/20,,9,16,20
northampton,bristol,19/20,,10,14,20
harlequins,london-irish,19/20,,10,15,29
leicester,wasps,19/20,,10,18,9
saracens,sale,19/20,,10,36,22
worcester,bath,19/20,,10,21,22
gloucester,exeter-chiefs,19/20,,10,15,26
bristol,worcester,19/20,,11,13,10
exeter-chiefs,northampton,19/20,,11,57,7
bath,harlequins,19/20,,11,19,12
london-irish,gloucester,19/20,,11,24,20
sale,leicester,19/20,,11,36,3
wasps,saracens,19/20,,11,60,10
bath,bristol,19/20,,12,13,19
london-irish,wasps,19/20,,12,26,36
harlequins,exeter-chiefs,19/20,,12,34,30
leicester,worcester,19/20,,12,14,8
northampton,saracens,19/20,,12,21,27
gloucester,sale,19/20,,12,17,23
bristol,harlequins,19/20,,13,28,15
exeter-chiefs,bath,19/20,,13,57,20
wasps,gloucester,19/20,,13,39,22
saracens,leicester,19/20,,13,24,13
sale,london-irish,19/20,,13,39,0
worcester,northampton,19/20,,13,10,16
northampton,wasps,19/20,,14,21,34
bristol,saracens,19/20,,14,16,12
bath,london-irish,19/20,,14,34,17
exeter-chiefs,leicester,19/20,,14,26,13
worcester,gloucester,19/20,,14,15,44
harlequins,sale,19/20,,14,16,10
leicester,bath,19/20,,15,16,28
london-irish,northampton,19/20,,15,3,27
saracens,harlequins,19/20,,15,38,24
gloucester,bristol,19/20,,15,24,33
wasps,worcester,19/20,,15,32,17
sale,exeter-chiefs,19/20,,15,22,32
northampton,bath,19/20,,16,3,18
leicester,london-irish,19/20,,16,13,7
saracens,gloucester,19/20,,16,36,20
worcester,harlequins,19/20,,16,29,14
bristol,exeter-chiefs,19/20,,16,22,25
wasps,sale,19/20,,16,11,20
bath,wasps,19/20,,17,23,27
london-irish,saracens,19/20,,17,12,40
gloucester,leicester,19/20,,17,46,30
exeter-chiefs,worcester,19/20,,17,59,7
harlequins,northampton,19/20,,17,30,17
sale,bristol,19/20,,17,40,7
gloucester,london-irish,19/20,,18,36,23
leicester,sale,19/20,,18,31,40
harlequins,bath,19/20,,18,27,41
saracens,wasps,19/20,,18,18,28
northampton,exeter-chiefs,19/20,,18,19,22
worcester,bristol,19/20,,18,13,36
bath,worcester,19/20,,19,40,15
london-irish,harlequins,19/20,,19,15,38
sale,saracens,19/20,,19,24,17
exeter-chiefs,gloucester,19/20,,19,35,22
wasps,leicester,19/20,,19,54,7
bristol,northampton,19/20,,19,47,10
gloucester,harlequins,19/20,,20,15,28
saracens,exeter-chiefs,19/20,,20,40,17
london-irish,worcester,19/20,,20,25,40
sale,bath,19/20,,20,22,37
leicester,northampton,19/20,,20,28,24
wasps,bristol,19/20,,20,59,35
bristol,leicester,19/20,,21,40,3
exeter-chiefs,london-irish,19/20,,21,19,22
worcester,saracens,19/20,,21,40,27
northampton,sale,19/20,,21,14,34
harlequins,wasps,19/20,,21,23,32
bath,gloucester,19/20,,21,31,20
sale,worcester,19/20,,22,0,20
gloucester,northampton,19/20,,22,20,0
leicester,harlequins,19/20,,22,26,32
london-irish,bristol,19/20,,22,7,36
saracens,bath,19/20,,22,17,17
wasps,exeter-chiefs,19/20,,22,46,5
exeter-chiefs,bath,19/20,,SF,35,6
wasps,bristol,19/20,,SF,47,24
exeter-chiefs,wasps,19/20,,F,19,13
wasps,bristol,20/21,,1,23,20
leicester,gloucester,20/21,,1,38,15
worcester,london-irish,20/21,,1,11,10
bath,newcastle,20/21,,1,12,19
sale,northampton,20/21,,1,32,23
harlequins,exeter-chiefs,20/21,,1,3,33
london-irish,leicester,20/21,,2,22,9
exeter-chiefs,bath,20/21,,2,40,3
bristol,worcester,20/21,,2,30,13
gloucester,wasps,20/21,,2,40,24
northampton,harlequins,20/21,,2,29,49
newcastle,sale,20/21,,2,15,13
gloucester,harlequins,20/21,,3,24,34
london-irish,sale,20/21,,3,13,21
leicester,exeter-chiefs,20/21,,3,13,35
wasps,newcastle,20/21,,3,17,27
worcester,bath,20/21,,3,17,33
bristol,northampton,20/21,,3,18,17
sale,wasps,20/21,,4,23,26
northampton,worcester,20/21,,4,29,10
exeter-chiefs,gloucester,20/21,,4,28,20
harlequins,bristol,20/21,,4,19,27
leicester,bath,20/21,,5,36,31
gloucester,sale,20/21,,5,19,22
wasps,exeter-chiefs,20/21,,5,34,5
bristol,newcastle,20/21,,5,29,17
harlequins,london-irish,20/21,,6,27,27
exeter-chiefs,bristol,20/21,,6,7,20
newcastle,gloucester,20/21,,6,22,10
sale,worcester,20/21,,6,20,13
bath,wasps,20/21,,6,44,52
wasps,harlequins,20/21,,7,17,49
london-irish,newcastle,20/21,,7,31,22
gloucester,northampton,20/21,,7,26,31
worcester,exeter-chiefs,20/21,,7,17,21
bristol,bath,20/21,,7,48,3
leicester,sale,20/21,,7,15,25
newcastle,exeter-chiefs,20/21,,8,9,15
leicester,worcester,20/21,,8,41,24
london-irish,gloucester,20/21,,8,32,26
bath,harlequins,20/21,,8,15,28
wasps,northampton,20/21,,8,17,22
bristol,sale,20/21,,8,13,20
worcester,wasps,20/21,,9,13,17
exeter-chiefs,london-irish,20/21,,9,26,3
harlequins,leicester,20/21,,9,37,24
sale,bath,20/21,,9,22,27
gloucester,bristol,20/21,,9,17,18
london-irish,bristol,20/21,,10,34,34
exeter-chiefs,northampton,20/21,,10,12,13
leicester,wasps,20/21,,10,27,8
harlequins,sale,20/21,,10,24,12
bath,gloucester,20/21,,10,16,14
northampton,bath,20/21,,11,22,23
gloucester,worcester,20/21,,11,22,14
newcastle,harlequins,20/21,,11,25,22
wasps,london-irish,20/21,,11,10,16
bristol,leicester,20/21,,11,17,3
sale,exeter-chiefs,20/21,,11,25,20
harlequins,northampton,20/21,,12,37,19
worcester,bristol,20/21,,12,23,24
bath,exeter-chiefs,20/21,,12,16,38
wasps,gloucester,20/21,,12,19,20
sale,newcastle,20/21,,12,31,16
leicester,london-irish,20/21,,12,33,32
london-irish,worcester,20/21,,13,20,17
gloucester,leicester,20/21,,13,14,20
northampton,sale,20/21,,13,17,14
exeter-chiefs,harlequins,20/21,,13,21,20
newcastle,bath,20/21,,13,19,38
bristol,wasps,20/21,,13,37,20
northampton,bristol,20/21,,14,21,28
sale,london-irish,20/21,,14,41,13
exeter-chiefs,leicester,20/21,,14,47,31
bath,worcester,20/21,,14,47,22
harlequins,gloucester,20/21,,14,59,24
newcastle,wasps,20/21,,14,18,20
leicester,newcastle,20/21,,15,26,12
wasps,sale,20/21,,15,19,20
london-irish,bath,20/21,,15,36,33
worcester,northampton,20/21,,15,14,62
bristol,harlequins,20/21,,15,35,33
gloucester,exeter-chiefs,20/21,,15,34,18
bath,leicester,20/21,,16,21,20
harlequins,worcester,20/21,,16,50,26
newcastle,bristol,20/21,,16,17,34
exeter-chiefs,wasps,20/21,,16,43,13
sale,gloucester,20/21,,16,25,22
northampton,london-irish,20/21,,16,44,26
wasps,bath,20/21,,17,39,29
gloucester,newcastle,20/21,,17,35,24
leicester,northampton,20/21,,17,18,23
worcester,sale,20/21,,17,32,35
london-irish,harlequins,20/21,,17,21,25
bristol,exeter-chiefs,20/21,,17,12,20
harlequins,wasps,20/21,,18,48,46
bath,bristol,20/21,,18,20,40
exeter-chiefs,worcester,20/21,,18,41,10
newcastle,london-irish,20/21,,18,25,27
northampton,gloucester,20/21,,18,7,31
sale,leicester,20/21,,18,26,10
london-irish,exeter-chiefs,20/21,,19,12,30
bristol,gloucester,20/21,,19,39,7
newcastle,northampton,20/21,,19,18,10
leicester,harlequins,20/21,,19,35,29
wasps,worcester,20/21,,19,23,19
bath,sale,20/21,,19,20,24
exeter-chiefs,newcastle,20/21,,20,74,3
northampton,wasps,20/21,,20,30,25
worcester,leicester,20/21,,20,17,18
harlequins,bath,20/21,,20,44,33
gloucester,london-irish,20/21,,20,30,28
sale,bristol,20/21,,20,22,12
northampton,exeter-chiefs,20/21,,21,26,29
london-irish,wasps,20/21,,21,36,39
leicester,bristol,20/21,,21,23,26
newcastle,worcester,20/21,,21,24,14
sale,harlequins,20/21,,21,45,12
bath,northampton,20/21,,22,30,24
exeter-chiefs,sale,20/21,,22,20,19
harlequins,newcastle,20/21,,22,54,26
wasps,leicester,20/21,,22,31,38
exeter-chiefs,sale,20/21,,SF,40,30
bristol,harlequins,20/21,,SF,36,43
exeter-chiefs,harlequins,20/21,,F,38,40
newcastle,harlequins,21/22,,1,20,26
sale,bath,21/22,,1,20,19
leicester,exeter-chiefs,21/22,,1,34,19
northampton,gloucester,21/22,,1,34,20
worcester,london-irish,21/22,,1,36,24
bristol,saracens,21/22,,1,9,26
london-irish,sale,21/22,,2,31,31
bath,newcastle,21/22,,2,13,20
exeter-chiefs,northampton,21/22,,2,24,26
harlequins,worcester,21/22,,2,35,29
wasps,bristol,21/22,,2,44,8
gloucester,leicester,21/22,,2,26,33
sale,exeter-chiefs,21/22,,3,15,25
