HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore,Home 22m Entries,Away 22m Entries,Home 22m Conversions,Away 22m Conversions,Home Line Breaks,Away Line Breaks,Home Carries,Away Carries,Home Kicks,Away Kicks,Home Post Contact Metres,Away Post Contact Metres,Home Dominate Tackles,Away Dominate Tackles,Home Tackles Made,Away Tackles Made,Home Tackles Missed,Away Tackles Missed,Home Turnovers Won,Away Turnovers Won,Home Tackle Turnovers,Away Tackle Turnovers,Home Offloads Allowed,Away Offloads Allowed,Home 0-3s Ruck Speed,Away 0-3s Ruck Speed,Home 3-6s Ruck Speed,Away 3-6s Ruck Speed,Home 6s+ Ruck Speed,Away 6s+ Ruck Speed,Home Rucks Won,Away Rucks Won,Home Penalty Goals,Away Penalty Goals,Home Tries,Away Tries,Home Conversions,Away Conversions,Home Drop Goals,Away Drop Goals,Home Turnovers Lost,Away Turnovers Lost,Territory Home Try-Line - 22m,Territory Home 22m - 50m,Territory Away 22m - 50m,Territory Away Try-Line - 22m,Home Territory,Away Territory,Home Possessions Try Line - 22m,Home Possession 22m - 50m,Home Possession opp 50m - 22m,Home Possession opp 22m - Try Line,Away Possessions Try Line - 22m,Away Possession 22m - 50m,Away Possession opp 50m - 22m,Away Possession opp 22m - Try Line,Home Possession Last 10,Away Possession Last 10,Home Possession,Away Possession,Home Scrums,Away Scrums,Home Scrum Wins,Away Scrum Wins,Home Lineouts,Away Lineouts,Home Lineout Wins %,Away Lineout Wins %,Home Restarts Received,Away Restarts Received,Home Restarts Received Win %,Away Restarts Received Win %,Home Passes,Away Passes,Home Penalties Conceded,Away Penalties Conceded,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Home Tackle Completion,Away Tackle Completion,Home Metres Gained,Away Metres Gained,Home Defenders Beaten,Away Defenders Beaten,Home Maul Wins,Away Maul Wins
sale,newcastle,23/24,6,40,22,10,6,4,3.67,5,2,114,107,36,39,334,155,11,2,99,101,13,28,5,4,2,2,4,13,0.52,0.32,0.27,0.25,0.22,0.43,66,71,0,0,6,4,5,1,0,0,13,10,0.17,0.25,0.15,0.44,0.61,0.39,0.04,0.32,0.48,0.16,0.09,0.46,0.27,0.18,0.65,0.35,0.48,0.52,8,3,0.86,0.67,14,15,0.86,0.87,7,5,1,1,121,104,7,10,0,1,0,0,0.88,0.78,546,211,28,13,3,3
newcastle,exeter-chiefs,23/24,7,14,20,5,11,2.8,1.55,6,7,89,130,35,32,201,401,12,14,189,100,25,19,12,4,7,0,3,13,0.23,0.52,0.33,0.27,0.42,0.14,59,103,0,1,2,3,2,1,0,0,9,16,0.23,0.37,0.13,0.28,0.35,0.65,0.16,0.36,0.33,0.15,0.05,0.23,0.44,0.28,0.66,0.34,0.44,0.56,7,10,0.86,0.7,13,15,0.77,0.87,3,6,0.33,0.83,94,137,11,9,0,0,0,0,0.88,0.84,333,581,19,25,3,3
saracens,bristol,23/24,7,39,31,8,9,4.88,3.44,10,5,118,113,33,15,161,271,5,8,103,85,24,13,9,4,5,1,18,11,0.39,0.61,0.43,0.27,0.18,0.13,54,67,0,1,7,4,2,4,0,0,12,21,0.13,0.28,0.27,0.33,0.61,0.39,0.1,0.24,0.37,0.3,0.11,0.44,0.31,0.14,0.55,0.45,0.54,0.46,9,4,0.83,1,18,8,1,1,9,5,1,1,120,155,6,14,0,1,0,0,0.81,0.87,419,246,32,26,4,6
gloucester,leicester,23/24,7,20,38,8,11,2.13,2.91,4,3,91,135,30,36,78,158,4,3,151,106,34,18,5,5,2,2,7,4,0.41,0.43,0.17,0.24,0.36,0.29,73,92,2,4,2,4,2,3,0,0,11,7,0.39,0.2,0.15,0.27,0.41,0.59,0.11,0.44,0.29,0.16,0.07,0.29,0.22,0.42,0.93,0.07,0.45,0.55,5,5,0.8,0.8,9,13,1,0.77,6,7,1,1,118,126,13,13,2,1,0,0,0.82,0.85,200,437,18,34,3,7
northampton,harlequins,23/24,7,36,33,13,9,2.54,3.67,6,7,125,147,20,21,213,207,12,2,189,128,29,26,3,8,2,5,8,11,0.61,0.48,0.14,0.29,0.17,0.17,74,112,1,0,5,5,4,4,0,0,13,11,0.27,0.22,0.2,0.31,0.48,0.52,0.06,0.27,0.41,0.26,0.19,0.16,0.29,0.36,0.06,0.94,0.41,0.59,3,7,1,0.57,16,19,0.94,0.89,6,6,0.87,1,149,157,14,11,0,0,0,0,0.87,0.83,388,364,26,29,5,8
sale,bath,23/24,7,11,9,11,3,0.73,2,5,3,154,88,34,36,292,165,3,10,104,150,16,32,6,7,5,2,6,16,0.53,0.36,0.27,0.44,0.2,0.2,94,74,2,3,1,0,0,0,0,0,15,16,0.08,0.34,0.2,0.39,0.62,0.38,0.05,0.25,0.46,0.24,0.14,0.37,0.4,0.09,0.59,0.41,0.57,0.43,8,6,0.86,1,22,12,0.91,0.83,4,4,1,1,181,120,9,9,0,0,0,0,0.87,0.82,373,289,32,16,10,5
saracens,northampton,23/24,8,12,18,9,7,1.33,2.14,3,8,140,134,38,42,142,128,23,18,141,161,23,25,6,10,2,6,11,9,0.58,0.43,0.24,0.3,0.19,0.27,87,87,0,2,2,2,1,1,0,0,16,13,0.1,0.27,0.28,0.35,0.63,0.37,0.02,0.33,0.36,0.29,0.15,0.46,0.28,0.1,0.4,0.6,0.51,0.49,6,6,1,0.83,16,12,0.81,0.75,3,6,1,1,174,139,10,12,0,0,0,0,0.86,0.87,444,503,25,23,6,3
bath,exeter-chiefs,23/24,8,41,24,11,7,3.73,3.43,12,4,100,101,30,28,390,329,15,14,130,105,20,44,4,4,1,2,5,10,0.43,0.59,0.33,0.21,0.25,0.2,66,80,1,1,6,3,4,3,0,0,15,13,0.16,0.3,0.29,0.25,0.58,0.42,0.08,0.21,0.32,0.38,0.1,0.3,0.39,0.2,0.14,0.86,0.52,0.48,4,8,1,0.88,17,9,0.94,0.89,8,4,0.89,1,126,120,5,13,0,1,0,0,0.87,0.7,455,367,44,20,4,0
harlequins,sale,23/24,8,36,3,7,4,5.14,0.75,5,2,140,101,34,21,263,193,6,5,124,160,26,32,7,5,1,5,6,6,0.31,0.22,0.47,0.41,0.2,0.35,101,81,1,1,5,0,4,0,0,0,13,12,0.19,0.35,0.18,0.29,0.47,0.53,0.06,0.39,0.34,0.21,0.13,0.25,0.41,0.22,0.41,0.59,0.52,0.48,7,3,0.86,1,16,10,0.94,0.9,7,2,1,1,160,104,8,12,0,1,0,0,0.83,0.83,419,246,32,26,4,6
bristol,gloucester,23/24,8,51,26,17,10,3,2.6,8,5,173,88,18,17,294,139,5,15,97,175,22,49,3,7,3,4,11,16,0.37,0.31,0.42,0.33,0.18,0.33,115,51,2,0,7,4,5,3,0,0,12,10,0.19,0.25,0.32,0.24,0.6,0.4,0.13,0.23,0.27,0.37,0.16,0.34,0.28,0.22,0.87,0.13,0.63,0.37,6,5,0.83,0.8,13,12,1,0.83,9,4,1,1,187,113,7,14,0,1,0,0,0.82,0.78,617,331,49,22,6,3
